amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,reason,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_fail,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,ASSET1,False,A001,674.3333440743413,EUR,,,,7.422202053519623,0.6049218316394436,0,0.5,DVP,0,0.0,0,,,0.6049218316394436,674.3333440743413,0.6049218316394436,False,0.7596347992773738,4,,,,90.85354174029405,7.422202053519623,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,True,,0.7514990723093984,0.1465772406699548,0.7755217566457988,0.7738851148024284,0.7462943844880523,shared,0.7629941708982055,S0-DVP-00000080,,B
,ASSET1,False,A000,890.440410093576,USD,,,,7.28083265099724,0.3175624320704684,0,0.5,DVP,0,0.0,0,,,0.3175624320704684,890.440410093576,0.3175624320704684,False,0.8513402971496011,4,,,,122.29925515066114,7.28083265099724,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,3.6617142167478036,3.344151784677335,0.9684711107959674,0.7688310912014786,0.8540007265066428,shared,0.8587967045606584,S0-DVP-00000081,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,1.7282490324615738,4857.677753615255,1.7282490324615738,False,0.6599970941059832,4,2493.4553113174206,A009,A003,,,0.0,0.9481711709718568,,,False,0,0.0,S0,11,,,SETTLED,True,,3.7354129150896416,2.0071638826280678,0.7207214612730081,0.597853786972031,0.7534489668070933,shared,0.6784036806528198,S0-PVP-00000046,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,1.7376450579029186,2553.775928940895,1.7376450579029186,False,0.8752091353064589,4,1312.2942843817264,A016,A001,,,0.0,0.9460390549091506,,,False,0,0.0,S0,11,,,SETTLED,True,,6.6701137879299495,4.932468730027031,0.9223349386232199,0.8028479302607731,0.8976003528631878,shared,0.8746402984720199,S0-PVP-00000047,,B
1727.015867657694,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,0,0.0,0,J02,J01,0.6285555785948338,0.0,0.0,False,0.6467398162462104,4,,,,,,0.0,,,A001,False,0,0.0,S0,11,,A011,SETTLED,True,,6.829304466546036,6.200748887951202,0.6413928547503286,0.5853580080866986,0.7063098980112189,shared,0.6453080786681333,S0-XBPAY-00000000,0,B
1193.5778597827482,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,0,0.0,0,J01,J02,1.2269951332681277,0.0,0.0,False,0.671433910072539,4,,,,,,0.0,,,A005,False,0,0.0,S0,11,,A015,SETTLED,True,,12.749122425179506,11.522127291911378,0.6517195720254847,0.7546700541506522,0.7282207647442593,shared,0.6954956422130949,S0-XBPAY-00000001,0,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,5.512779406864897,3067.7957695644577,5.512779406864897,False,0.8925802115202085,4,1614.1990283214557,A019,A017,,,0.0,0.9005065148345072,,,False,0,0.0,S0,11,,,SETTLED,True,,16.007597851843254,10.494818444978357,0.77554485434543,0.8176172661521315,0.9811671634818402,shared,0.8718979414039638,S0-PVP-00000048,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,4.0,1,,,6.893669193923769,5589.193158975866,2.8936691939237686,False,0.893051558294341,4,2696.587553452871,A017,A004,,,0.0,1.072691150643016,,,False,0,0.0,S0,11,,,SETTLED,False,,17.456816160872698,10.56314696694893,1.0,0.8736869007327667,0.8966903179116049,shared,0.9112960670466107,S0-PVP-00000049,,B
,ASSET1,False,A010,753.1411378365779,USD,,,,7.903791250376171,2.93434854054016,0,0.5,DVP,0,0.0,0,,,2.93434854054016,753.1411378365779,2.93434854054016,False,0.8732740928800743,4,,,,95.2885917629382,7.903791250376171,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,18.742786400590795,15.808437860050635,0.843038924779035,0.8971903233206094,0.9425764863998367,shared,0.885870784051926,S0-DVP-00000082,,B
1057.1398658429905,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J00,J02,3.245336266957583,0.0,0.0,False,0.8931259362427524,4,,,,,,0.0,,,A000,False,0,0.0,S0,11,,A014,SETTLED,True,,20.286240113230303,17.04090384627272,0.8694658946540282,0.9446251076727591,0.8440442853490973,shared,0.8888774320322779,S0-XBPAY-00000002,1,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,6.393321567349663,4494.380553108842,6.393321567349663,False,0.9068856577906603,4,2211.8051100026455,A003,A011,,,0.0,1.0319966405645322,,,False,0,0.0,S0,11,,,SETTLED,True,,21.455916834287734,15.062595266938072,0.8771066165458894,0.8721869779170603,0.8941385653356555,shared,0.8914406950759852,S0-PVP-00000050,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,0.17860099353943681,4959.611436399083,0.17860099353943681,False,0.8513989949315915,4,2525.025661094014,A007,A009,,,0.0,0.9641825874554635,,,False,0,0.0,S0,11,,,SETTLED,True,,22.53280015936431,22.354199165824873,0.886599603447228,0.870322262272898,0.9374596951992156,shared,0.879435910156505,S0-PVP-00000051,,B
1885.6201687131716,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J00,J00,1.2818861349409971,0.0,0.0,False,0.8658610959150987,4,,,,,,0.0,,,A004,False,0,0.0,S0,11,,A012,SETTLED,True,,23.638234859317663,22.356348724376666,0.7650521574096638,0.8198836292071476,0.9039216162568999,shared,0.8441159189407819,S0-XBPAY-00000003,2,B
,ASSET1,False,A008,1175.4354942910525,EUR,,,,8.860957249636261,3.1059398626323365,0,0.5,DVP,0,0.0,0,,,3.1059398626323365,1175.4354942910525,3.1059398626323365,False,0.972860200138953,4,,,,132.65333091854197,8.860957249636261,0.0,,,,False,0,0.0,S0,11,A004,,SETTLED,True,,24.181143566623895,21.07520370399156,0.9619549747868059,0.9976317865636589,0.8346559672092853,shared,0.9479926257675313,S0-DVP-00000083,,B
,ASSET1,False,A000,1382.255535721072,EUR,,,,11.694057652884402,0.2589861077091804,0,0.5,DVP,0,0.0,0,,,0.2589861077091804,1382.255535721072,0.2589861077091804,False,0.7138467570379047,4,,,,118.20153250058,11.694057652884402,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,True,,28.117295564368554,27.858309456659374,0.8440976133798848,0.6659302142906176,0.6697562641913711,shared,0.7214955211875366,S0-DVP-00000084,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,4.0,1,,,4.853092258670927,3804.655269375572,0.8530922586709266,False,0.7501285412365857,4,1876.754275159045,A018,A011,,,0.0,1.0272527521234223,,,False,0,0.0,S0,11,,,SETTLED,False,,31.046082393053688,26.19299013438276,0.7472717987716859,0.7115408826934426,0.7366811263833921,shared,0.7391501780643385,S0-PVP-00000052,,B
,,False,,,,,USD,EUR,0.0,0.0,0,0.5,PVP,,0.0,0,,,0.3707306984473284,2282.254048106705,0.3707306984473284,False,0.8683309049196647,4,1116.0409664654385,A014,A017,,,0.0,1.044955442213493,,,False,0,0.0,S0,11,,,SETTLED,True,,31.99955809443758,31.628827395990253,0.8731402879373721,0.8082345112552847,0.7983090513429555,shared,0.8432691320749883,S0-PVP-00000053,,B
336.1701296657284,,False,,,,USD,,,0.0,0.0,0,0.5,XBPAY,1,0.0,0,J00,J00,1.1626358832449455,0.0,0.0,False,0.7703473416479192,4,,,,,,0.0,,,A019,False,0,0.0,S0,11,,A006,SETTLED,True,,33.50356556363503,32.34092968039008,0.7700845616805804,0.6766438125643373,0.7943293418541735,shared,0.756350479878986,S0-XBPAY-00000005,2,B
866.7595411137538,,False,,,,EUR,,,0.0,0.0,0,0.5,XBPAY,1,4.0,1,J02,J01,5.944081106823418,0.0,0.0,False,0.6582655231222131,4,,,,,,0.0,,,A001,False,0,0.0,S0,11,,A010,SETTLED,False,,36.69163925393806,30.74755814711464,0.6099544353451934,0.6191867193221412,0.6905880419947893,shared,0.64725204858131,S0-XBPAY-00000004,1,B
454.3298136615415,,False,,,,USD,,,0.0,0.0,0,0.5,XBPAY,0,0.0,0,J00,J00,3.3067305331554664,0.0,0.0,False,0.6711987783913007,4,,,,,,0.0,,,A012,False,0,0.0,S0,11,,A013,SETTLED,True,,37.04535256477818,33.73862203162271,0.6433385595047557,0.5866834225093931,0.7234301491593824,shared,0.6591699375912266,S0-XBPAY-00000006,0,B
